Date	Price	Open	High	Low	Vol.	Change %
Mar 06, 2024	471.00	465.00	471.50	462.50	2.34M	+1.07%
Mar 05, 2024	466.00	458.00	470.00	458.00	3.46M	+1.97%
Mar 04, 2024	457.00	460.50	467.00	457.00	2.73M	0.00%
Mar 01, 2024	457.00	457.00	466.00	456.00	2.47M	+0.44%
Feb 29, 2024	455.00	450.00	462.50	448.00	6.92M	+0.11%
Feb 27, 2024	454.50	461.50	462.00	452.00	7.83M	-3.40%
Feb 26, 2024	470.50	472.00	473.50	464.50	2.57M	-0.74%
Feb 23, 2024	474.00	473.00	482.50	473.00	3.62M	+1.07%
Feb 22, 2024	469.00	473.00	477.00	462.50	3.32M	0.00%
Feb 21, 2024	469.00	476.00	487.00	466.00	3.45M	-0.85%
Feb 20, 2024	473.00	475.50	479.00	470.00	2.50M	-0.94%
Feb 19, 2024	477.50	482.50	482.50	467.50	3.37M	-0.42%
Feb 16, 2024	479.50	462.50	488.00	462.00	7.29M	+3.34%
Feb 15, 2024	464.00	464.00	467.00	457.00	5.90M	+2.65%
Feb 05, 2024	452.00	450.50	455.00	448.50	2.82M	-0.66%
Feb 02, 2024	455.00	451.00	458.00	450.00	3.39M	+1.79%
Feb 01, 2024	447.00	447.00	448.00	442.00	1.77M	+0.34%
Jan 31, 2024	445.50	446.00	453.00	441.00	5.04M	-0.45%
Jan 30, 2024	447.50	443.50	451.00	439.50	3.28M	+0.79%
Jan 29, 2024	444.00	436.00	445.00	436.00	1.90M	+1.14%
Jan 26, 2024	439.00	453.00	453.50	436.50	5.17M	-4.15%
Jan 25, 2024	458.00	457.00	460.50	454.50	2.02M	+0.66%
Jan 24, 2024	455.00	457.00	461.50	454.00	2.21M	-0.33%
Jan 23, 2024	456.50	460.00	462.50	454.50	2.50M	-0.65%
Jan 22, 2024	459.50	456.00	465.00	455.00	4.44M	+0.99%
Jan 19, 2024	455.00	448.00	455.00	445.50	3.78M	+2.25%
Jan 18, 2024	445.00	439.00	452.50	439.00	4.23M	+1.37%
Jan 17, 2024	439.00	441.00	444.50	436.50	5.07M	-0.34%
Jan 16, 2024	440.50	445.50	445.50	439.00	3.96M	-1.45%
Jan 15, 2024	447.00	452.00	455.00	446.00	2.92M	-0.33%
Jan 12, 2024	448.50	459.00	459.00	445.00	4.91M	-2.71%
Jan 11, 2024	461.00	462.00	463.00	455.00	3.03M	0.00%
Jan 10, 2024	461.00	455.00	464.00	451.50	4.57M	+1.32%
Jan 09, 2024	455.00	461.50	464.00	453.50	3.84M	+0.33%
Jan 08, 2024	453.50	459.00	463.50	452.50	3.87M	-0.11%
Jan 05, 2024	454.00	456.50	461.50	451.00	4.54M	0.00%
Jan 04, 2024	454.00	465.00	467.00	450.50	7.72M	-2.37%
Jan 03, 2024	465.00	478.00	482.00	459.00	10.32M	-4.12%
Jan 02, 2024	485.00	494.00	498.00	479.00	5.27M	-0.92%
Dec 29, 2023	489.50	490.00	499.00	486.00	4.87M	-0.51%
Dec 28, 2023	492.00	496.00	502.00	487.00	8.23M	+0.10%
Dec 27, 2023	491.50	478.00	496.00	472.00	10.09M	+4.13%
Dec 26, 2023	472.00	473.50	477.00	466.50	4.40M	+0.11%
Dec 25, 2023	471.50	456.00	479.00	456.00	9.09M	+3.97%
Dec 22, 2023	453.50	452.00	457.50	444.50	5.92M	0.00%
Dec 21, 2023	453.50	438.50	462.00	437.50	11.03M	+0.78%
Dec 20, 2023	450.00	428.50	460.50	428.00	17.12M	+6.01%
Dec 19, 2023	424.50	427.00	436.00	422.00	7.10M	-0.93%
Dec 18, 2023	428.50	409.00	434.00	403.50	8.36M	+5.54%
Dec 15, 2023	406.00	411.00	412.00	406.00	6.41M	-1.22%
Dec 14, 2023	411.00	410.00	416.00	404.50	4.99M	+0.86%
Dec 13, 2023	407.50	395.50	412.00	394.00	8.42M	+3.69%
Dec 12, 2023	393.00	396.00	399.00	392.00	2.27M	-0.88%
Dec 11, 2023	396.50	400.00	402.00	392.00	3.13M	-0.50%
Dec 08, 2023	398.50	398.00	403.50	395.50	3.89M	+1.27%
Dec 07, 2023	393.50	391.00	397.00	390.50	1.84M	0.00%
Dec 06, 2023	393.50	390.50	395.00	388.50	2.96M	+0.77%
Dec 05, 2023	390.50	388.00	391.00	382.50	3.24M	+0.90%
Dec 04, 2023	387.00	391.50	391.50	385.50	2.68M	-0.26%
Dec 01, 2023	388.00	390.00	391.50	386.50	4.13M	-1.40%
Nov 30, 2023	393.50	388.00	393.50	382.00	9.18M	+0.90%
Nov 29, 2023	390.00	387.00	390.50	383.50	5.31M	+1.17%
Nov 28, 2023	385.50	379.00	385.50	377.50	4.47M	+2.25%
Nov 27, 2023	377.00	383.50	384.00	373.00	4.59M	-1.69%
Nov 24, 2023	383.50	381.50	383.50	376.00	3.52M	+1.05%
Nov 23, 2023	379.50	386.00	386.00	378.00	3.46M	-1.30%
Nov 22, 2023	384.50	390.00	391.00	381.00	3.83M	-1.16%
Nov 21, 2023	389.00	394.00	396.00	387.00	4.76M	-0.51%
Nov 20, 2023	391.00	392.00	392.00	384.00	3.60M	-0.38%
Nov 17, 2023	392.50	385.00	398.00	381.00	7.76M	+3.15%
Nov 16, 2023	380.50	390.00	392.00	376.50	6.06M	-2.81%
Nov 15, 2023	391.50	403.00	405.00	390.00	8.59M	-1.14%
Nov 14, 2023	396.00	386.00	396.00	383.50	14.58M	+10.00%
Nov 13, 2023	360.00	360.50	360.50	353.00	1.94M	+1.27%
Nov 10, 2023	355.50	353.50	357.50	350.50	1.45M	-0.42%
Nov 09, 2023	357.00	355.50	358.50	352.00	1.67M	-0.14%
Nov 08, 2023	357.50	358.00	363.00	355.50	1.72M	+1.13%
Nov 07, 2023	353.50	359.00	359.50	352.50	2.18M	-1.94%
